학제별,설립별,대학명,지역별,입학정원 합(명),평균 입학금(천원),평균등록금(천원)
대학,국공립,강릉원주대학교,강원,7412 ,0.0 ,4264.4 
대학,국공립,강원대학교,강원,18255 ,0.0 ,4114.2 
대학,국공립,경남과학기술대학교,경남,4767 ,0.0 ,3776.3 
대학,국공립,경북대학교,대구,19178 ,0.0 ,4500.6 
대학,국공립,경상대학교,경남,12528 ,0.0 ,4090.0 
대학,국공립,경인교육대학교,인천,2392 ,0.0 ,3189.0 
대학,국공립,공주교육대학교,충남,1416 ,0.0 ,3424.0 
대학,국공립,공주대학교,충남,10953 ,0.0 ,3824.0 
대학,국공립,광주과학기술원,광주,778 ,0.0 ,2060.0 
대학,국공립,광주교육대학교,광주,1304 ,0.0 ,3476.5 
대학,국공립,군산대학교,전북,6940 ,0.0 ,3934.3 
대학,국공립,금오공과대학교,경북,4850 ,0.0 ,3770.9 
대학,국공립,대구경북과학기술원,대구,880 ,0.0 ,1750.0 
대학,국공립,대구교육대학교,대구,1532 ,0.0 ,3604.0 
대학,국공립,목포대학교,전남,6453 ,0.0 ,3894.0 
대학,국공립,목포해양대학교,전남,2764 ,0.0 ,3409.4 
대학,국공립,부경대학교,부산,13128 ,0.0 ,4040.3 
대학,국공립,부산교육대학교,부산,1425 ,0.0 ,3024.0 
대학,국공립,부산대학교,부산,17254 ,0.0 ,4462.0 
대학,국공립,서울과학기술대학교,서울,8320 ,0.0 ,5435.4 
대학,국공립,서울교육대학교,서울,1420 ,0.0 ,3088.0 
대학,국공립,서울대학교,서울,13148 ,0.0 ,6011.8 
대학,국공립,서울시립대학교,서울,6826 ,0.0 ,2392.1 
대학,국공립,순천대학교,전남,6502 ,0.0 ,3945.8 
대학,국공립,안동대학교,경북,5824 ,0.0 ,3749.6 
대학,국공립,울산과학기술원,울산,1440 ,0.0 ,6167.2 
대학,국공립,인천대학교,인천,9968 ,0.0 ,4635.9 
대학,국공립,전남대학교,광주,16202 ,0.0 ,4149.6 
대학,국공립,전북대학교,전북,15608 ,0.0 ,4380.8 
대학,국공립,전주교육대학교,전북,1137 ,0.0 ,3272.0 
대학,국공립,제주대학교,제주,8504 ,0.0 ,3832.9 
대학,국공립,진주교육대학교,경남,1276 ,0.0 ,3445.6 
대학,국공립,창원대학교,경남,7038 ,0.0 ,3893.8 
대학,국공립,청주교육대학교,충북,1144 ,0.0 ,3230.0 
대학,국공립,춘천교육대학교,강원,1284 ,0.0 ,3185.0 
대학,국공립,충남대학교,대전,14227 ,0.0 ,4359.1 
대학,국공립,충북대학교,충북,11373 ,0.0 ,4273.4 
대학,국공립,한경대학교,경기,4766 ,0.0 ,4057.2 
대학,국공립,한국과학기술원,대전,3880 ,0.0 ,6866.0 
대학,국공립,한국교원대학교,충북,2184 ,0.0 ,3182.8 
대학,국공립,한국교통대학교,충북,7541 ,0.0 ,4115.5 
대학,국공립,한국방송통신대학교,서울,247650 ,0.0 ,756.1 
대학,국공립,한국예술종합학교,서울,2252 ,0.0 ,4806.5 
대학,국공립,한국전통문화대학교,충남,560 ,0.0 ,3268.8 
대학,국공립,한국체육대학교,서울,2225 ,0.0 ,3865.9 
대학,국공립,한국해양대학교,부산,5760 ,0.0 ,3728.9 
대학,국공립,한밭대학교,대전,7409 ,0.0 ,4449.7 
대학,사립,가야대학교,경남,2434 ,5493.0 ,6740.8 
대학,사립,가천대학교,경기,15374 ,6825.3 ,8241.3 
대학,사립,가톨릭관동대학교,강원,8453 ,6959.6 ,7179.0 
대학,사립,가톨릭대학교,경기,7086 ,11064.0 ,7200.7 
대학,사립,감리교신학대학교,서울,800 ,827.0 ,6193.0 
대학,사립,강남대학교,경기,5986 ,7780.0 ,7444.7 
대학,사립,건국대학교,서울,18369 ,7889.6 ,8168.1 
대학,사립,건양대학교,충남,6890 ,6402.9 ,6771.7 
대학,사립,건양사이버대학교,대전,3000 ,1165.0 ,2433.7 
대학,사립,경기대학교,경기,11759 ,4887.2 ,7256.8 
대학,사립,경남대학교,경남,11569 ,2572.5 ,6478.4 
대학,사립,경동대학교,강원,7140 ,7498.5 ,7715.0 
대학,사립,경성대학교,부산,11193 ,3576.6 ,6537.5 
대학,사립,경운대학교,경북,4736 ,5202.7 ,7667.4 
대학,사립,경일대학교,경북,6356 ,6717.2 ,7362.9 
대학,사립,경주대학교,경북,3048 ,6992.1 ,6921.8 
대학,사립,경희대학교,서울,19686 ,8439.9 ,7935.4 
대학,사립,경희사이버대학교,서울,6330 ,141.2 ,2800.1 
대학,사립,계명대학교,대구,18742 ,6430.0 ,7178.3 
대학,사립,고려대학교,서울,20912 ,8571.2 ,8283.3 
대학,사립,고려사이버대학교,서울,7635 ,1304.0 ,2260.0 
대학,사립,고신대학교,부산,3696 ,5011.3 ,6613.3 
대학,사립,광신대학교,광주,503 ,6926.2 ,5979.0 
대학,사립,광운대학교,서울,6770 ,8524.3 ,7827.9 
대학,사립,광주가톨릭대학교,전남,160 ,0.0 ,0.0 
대학,사립,광주대학교,광주,6592 ,4744.5 ,6557.9 
대학,사립,광주여자대학교,광주,3580 ,4521.8 ,6288.9 
대학,사립,국민대학교,서울,11506 ,6147.4 ,7924.2 
대학,사립,국제사이버대학교,경기,2880 ,1435.2 ,2540.8 
대학,사립,극동대학교,충북,3740 ,5422.5 ,7450.1 
대학,사립,글로벌사이버대학교,충남,3180 ,3635.5 ,2444.7 
대학,사립,금강대학교,충남,510 ,4963.6 ,6564.0 
대학,사립,김천대학교,경북,3344 ,10862.5 ,7023.5 
대학,사립,꽃동네대학교,충북,432 ,4166.7 ,7089.7 
대학,사립,나사렛대학교,충남,4844 ,5945.5 ,7134.1 
대학,사립,남부대학교,광주,2820 ,5993.8 ,6507.1 
대학,사립,남서울대학교,충남,8812 ,3992.6 ,7835.0 
대학,사립,단국대학교,경기,18850 ,7261.5 ,8107.1 
대학,사립,대구가톨릭대학교,경북,11761 ,7446.5 ,7192.7 
대학,사립,대구대학교,경북,16236 ,5763.0 ,6822.5 
대학,사립,대구사이버대학교,경북,3860 ,1500.0 ,2406.8 
대학,사립,대구예술대학교,경북,1753 ,9674.4 ,8284.1 
대학,사립,대구한의대학교,경북,6288 ,6809.0 ,7243.6 
대학,사립,대신대학교,경북,464 ,7586.2 ,6360.3 
대학,사립,대전가톨릭대학교,세종,160 ,5000.0 ,5760.0 
대학,사립,대전대학교,대전,8572 ,7078.7 ,7271.3 
대학,사립,대전신학대학교,대전,212 ,7500.0 ,5921.9 
대학,사립,대진대학교,경기,7252 ,10315.1 ,7173.7 
대학,사립,덕성여자대학교,서울,4941 ,1869.2 ,7072.0 
대학,사립,동국대학교,서울,17995 ,10608.9 ,7898.6 
대학,사립,동덕여자대학교,서울,6188 ,7741.2 ,7399.4 
대학,사립,동명대학교,부산,7315 ,5445.5 ,6978.3 
대학,사립,동서대학교,부산,9720 ,4168.4 ,6818.4 
대학,사립,동신대학교,전남,6272 ,6025.8 ,6653.6 
대학,사립,동아대학교,부산,16380 ,6284.3 ,6755.4 
대학,사립,동양대학교,경북,4144 ,5992.2 ,7104.0 
대학,사립,동의대학교,부산,14520 ,3004.2 ,6608.8 
대학,사립,디지털서울문화예술대학교,서울,3736 ,3802.5 ,2692.0 
대학,사립,루터대학교,경기,355 ,12988.2 ,6300.0 
대학,사립,명지대학교,경기,10734 ,7215.8 ,8097.6 
대학,사립,목원대학교,대전,7499 ,7614.8 ,7208.4 
대학,사립,목포가톨릭대학교,전남,490 ,4800.0 ,6480.6 
대학,사립,배재대학교,대전,8220 ,3418.0 ,7131.2 
대학,사립,백석대학교,충남,11160 ,2721.1 ,7798.6 
대학,사립,부산가톨릭대학교,부산,3664 ,4185.6 ,6784.9 
대학,사립,부산디지털대학교,부산,2765 ,761.0 ,2420.3 
대학,사립,부산외국어대학교,부산,7326 ,3335.9 ,6195.9 
대학,사립,부산장신대학교,경남,253 ,0.0 ,5795.2 
대학,사립,사이버한국외국어대학교,서울,4626 ,647.2 ,2772.6 
대학,사립,삼육대학교,서울,4680 ,9224.6 ,7731.9 
대학,사립,상명대학교,서울,10428 ,10148.1 ,7891.9 
대학,사립,상지대학교,강원,7496 ,11426.6 ,7037.4 
대학,사립,서강대학교,서울,6296 ,5092.8 ,7947.4 
대학,사립,서경대학교,서울,5174 ,10382.2 ,7901.4 
대학,사립,서울기독대학교,서울,557 ,6000.0 ,7185.8 
대학,사립,서울디지털대학교,서울,10170 ,2600.9 ,2122.4 
대학,사립,서울사이버대학교,서울,10310 ,125.3 ,2709.0 
대학,사립,서울신학대학교,경기,2046 ,9071.7 ,6837.9 
대학,사립,서울여자대학교,서울,6368 ,8918.3 ,7518.7 
대학,사립,서울장신대학교,경기,461 ,11734.5 ,7544.7 
대학,사립,서울한영대학교,서울,720 ,6666.7 ,6942.9 
대학,사립,서원대학교,충북,6488 ,6171.4 ,6912.3 
대학,사립,선문대학교,충남,8239 ,5478.8 ,7596.2 
대학,사립,성결대학교,경기,4912 ,8998.4 ,7208.8 
대학,사립,성공회대학교,서울,2008 ,3458.2 ,7047.7 
대학,사립,성균관대학교,서울,13662 ,3545.9 ,8386.2 
대학,사립,성신여자대학교,서울,8240 ,12167.0 ,7778.3 
대학,사립,세명대학교,충북,7600 ,4766.0 ,6851.5 
대학,사립,세종대학교,서울,9337 ,8181.5 ,7879.9 
대학,사립,세종사이버대학교,서울,6790 ,6427.6 ,2773.0 
대학,사립,세한대학교,전남,3798 ,5100.7 ,6608.7 
대학,사립,송원대학교,광주,3120 ,6111.1 ,6455.2 
대학,사립,수원가톨릭대학교,경기,360 ,0.0 ,5097.0 
대학,사립,수원대학교,경기,8784 ,0.0 ,7524.5 
대학,사립,숙명여자대학교,서울,8848 ,11184.8 ,8069.5 
대학,사립,순복음총회신학교,충북,324 ,33333.3 ,5542.3 
대학,사립,순천향대학교,충남,9626 ,9644.6 ,7829.8 
대학,사립,숭실대학교,서울,10735 ,8397.8 ,7927.1 
대학,사립,숭실사이버대학교,서울,4950 ,6698.8 ,2770.1 
대학,사립,신경대학교,경기,1016 ,14374.0 ,6989.4 
대학,사립,신라대학교,부산,8590 ,4815.7 ,6699.2 
대학,사립,신한대학교,경기,5712 ,8556.7 ,8695.2 
대학,사립,아세아연합신학대학교,경기,744 ,3225.8 ,6556.0 
대학,사립,아주대학교,경기,7668 ,8801.7 ,8261.5 
대학,사립,안양대학교,경기,4524 ,12069.0 ,7572.6 
대학,사립,연세대학교,서울,20216 ,8685.8 ,8930.4 
대학,사립,영남대학교,경북,18680 ,5130.4 ,7409.8 
대학,사립,영남신학대학교,경북,460 ,7652.2 ,6070.0 
대학,사립,영산대학교,경남,6000 ,4392.0 ,6566.6 
대학,사립,영산선학대학교,전남,200 ,0.0 ,2000.0 
대학,사립,예수대학교,전북,516 ,2896.8 ,6718.7 
대학,사립,예원예술대학교,전북,1242 ,8268.0 ,8154.0 
대학,사립,용인대학교,경기,5656 ,10680.7 ,7698.0 
대학,사립,우석대학교,전북,7080 ,5941.9 ,6931.6 
대학,사립,우송대학교,대전,8016 ,5319.4 ,7160.5 
대학,사립,울산대학교,울산,11048 ,5196.2 ,7297.1 
대학,사립,원광대학교,전북,14796 ,4351.4 ,7451.4 
대학,사립,원광디지털대학교,전북,4795 ,4425.7 ,2778.2 
대학,사립,위덕대학교,경북,3255 ,8430.8 ,7323.7 
대학,사립,유원대학교,충북,3865 ,7180.8 ,7301.6 
대학,사립,을지대학교,대전,4286 ,9119.5 ,8495.8 
대학,사립,이화여자대학교,서울,12740 ,10876.7 ,8691.6 
대학,사립,인제대학교,경남,9017 ,3996.3 ,7211.2 
대학,사립,인천가톨릭대학교,인천,678 ,8578.3 ,7955.7 
대학,사립,인하대학교,인천,13786 ,9209.9 ,7692.2 
대학,사립,장로회신학대학교,서울,600 ,8880.0 ,6615.2 
대학,사립,전주대학교,전북,10088 ,5808.9 ,6972.5 
대학,사립,정석대학,서울,200 ,0.0 ,0.0 
대학,사립,제주국제대학교,제주,2519 ,9924.3 ,5975.4 
대학,사립,조선대학교,광주,18030 ,4574.7 ,7036.6 
대학,사립,중부대학교,충남,7780 ,4442.2 ,7189.0 
대학,사립,중앙대학교,서울,17976 ,7913.4 ,8083.1 
대학,사립,중앙승가대학교,경기,480 ,1400.0 ,1760.0 
대학,사립,중원대학교,충북,3948 ,8563.0 ,7335.8 
대학,사립,차의과학대학교,경기,2052 ,8523.2 ,7138.8 
대학,사립,창신대학교,경남,2000 ,7200.0 ,6336.7 
대학,사립,청운대학교,충남,5186 ,8190.2 ,7291.4 
대학,사립,청주대학교,충북,10641 ,5373.9 ,7620.5 
대학,사립,초당대학교,전남,3056 ,3829.8 ,6544.3 
대학,사립,총신대학교,서울,1414 ,12341.3 ,6920.3 
대학,사립,추계예술대학교,서울,1097 ,17011.2 ,8677.0 
대학,사립,침례신학대학교,대전,1440 ,6800.0 ,5998.8 
대학,사립,칼빈대학교,경기,368 ,18333.3 ,7220.3 
대학,사립,케이씨대학교,서울,1141 ,6873.6 ,7045.1 
대학,사립,평택대학교,경기,3420 ,11239.3 ,7517.4 
대학,사립,포항공과대학교,경북,1280 ,1681.3 ,5580.0 
대학,사립,한국국제대학교,경남,2779 ,7420.0 ,6357.2 
대학,사립,한국기술교육대학교,충남,3344 ,0.0 ,4529.8 
대학,사립,한국산업기술대학교,경기,5520 ,4130.4 ,8996.2 
대학,사립,한국성서대학교,서울,909 ,6053.8 ,7081.7 
대학,사립,한국열린사이버대학교,서울,3400 ,780.0 ,2144.5 
대학,사립,한국외국어대학교,서울,13508 ,11811.1 ,7130.0 
대학,사립,한국항공대학교,경기,3335 ,4623.9 ,8467.9 
대학,사립,한남대학교,대전,10733 ,5694.3 ,7183.3 
대학,사립,한동대학교,경북,2916 ,642.0 ,7119.0 
대학,사립,한라대학교,강원,3573 ,5045.0 ,6949.5 
대학,사립,한려대학교,전남,1205 ,8596.1 ,6585.4 
대학,사립,한림대학교,강원,6996 ,8099.7 ,7456.3 
대학,사립,한서대학교,충남,6365 ,4468.7 ,7947.1 
대학,사립,한성대학교,서울,5832 ,7012.3 ,7734.2 
대학,사립,한세대학교,경기,2288 ,15551.2 ,8097.9 
대학,사립,한신대학교,경기,4703 ,12680.6 ,7185.6 
대학,사립,한양대학교,서울,18928 ,10719.4 ,8473.4 
대학,사립,한양사이버대학교,서울,10515 ,109.4 ,2783.2 
대학,사립,한일장신대학교,전북,886 ,5698.6 ,6299.1 
대학,사립,협성대학교,경기,4052 ,7012.0 ,7360.3 
대학,사립,호남대학교,광주,6248 ,5459.7 ,6547.1 
대학,사립,호남신학대학교,광주,584 ,5709.4 ,6658.9 
대학,사립,호서대학교,충남,11562 ,5310.7 ,7727.9 
대학,사립,호원대학교,전북,4634 ,4593.7 ,6929.1 
대학,사립,홍익대학교,서울,14977 ,7195.6 ,8343.4 
대학,사립,화신사이버대학교,부산,1490 ,2330.0 ,2444.8 
전문대학,국공립,강원도립대학교,강원,657 ,0.0 ,2277.3 
전문대학,국공립,경남도립거창대학,경남,892 ,0.0 ,2826.3 
전문대학,국공립,경남도립남해대학,경남,775 ,0.0 ,2756.1 
전문대학,국공립,경북도립대학교,경북,910 ,0.0 ,2446.2 
전문대학,국공립,전남도립대학교,전남,1505 ,0.0 ,1916.7 
전문대학,국공립,충남도립대학교,충남,942 ,0.0 ,2448.1 
전문대학,국공립,충북도립대학교,충북,880 ,0.0 ,1859.8 
전문대학,국공립,한국농수산대학,전북,1650 ,0.0 ,0.0 
전문대학,국공립,한국복지대학교,경기,633 ,0.0 ,2718.7 
전문대학,사립,ICT폴리텍대학,경기,320 ,0.0 ,2280.0 
전문대학,사립,가톨릭상지대학교,경북,1734 ,10767.8 ,5615.7 
전문대학,사립,강동대학교,충북,3874 ,6007.0 ,5723.5 
전문대학,사립,강릉영동대학교,강원,2675 ,7176.2 ,5745.1 
전문대학,사립,강원관광대학교,강원,1119 ,2517.9 ,5022.3 
전문대학,사립,거제대학교,경남,1196 ,10476.2 ,6092.0 
전문대학,사립,경기과학기술대학교,경기,3456 ,4401.9 ,6349.1 
전문대학,사립,경남정보대학교,부산,5629 ,4901.1 ,6088.8 
전문대학,사립,경민대학교,경기,3663 ,6995.0 ,6408.6 
전문대학,사립,경복대학교,경기,5093 ,5295.5 ,6207.4 
전문대학,사립,경북과학대학교,경북,1719 ,11570.0 ,5659.9 
전문대학,사립,경북보건대학교,경북,1177 ,5509.5 ,5503.8 
전문대학,사립,경북전문대학교,경북,2315 ,9009.0 ,5690.0 
전문대학,사립,경인여자대학교,인천,4004 ,7124.2 ,5881.9 
전문대학,사립,계명문화대학교,대구,4703 ,5499.5 ,5783.8 
전문대학,사립,계원예술대학교,경기,2514 ,6891.8 ,7550.4 
전문대학,사립,고구려대학교,전남,1992 ,4390.1 ,4322.7 
전문대학,사립,광양보건대학교,전남,1755 ,9250.0 ,5708.4 
전문대학,사립,광주보건대학교,광주,3243 ,4887.9 ,5103.9 
전문대학,사립,구미대학교,경북,3645 ,9173.3 ,5745.6 
전문대학,사립,국제대학교,경기,3806 ,5958.7 ,6501.2 
전문대학,사립,군산간호대학교,전북,886 ,1758.8 ,6300.0 
전문대학,사립,군장대학교,전북,1550 ,11511.1 ,5730.1 
전문대학,사립,기독간호대학교,광주,444 ,2963.1 ,5318.0 
전문대학,사립,김포대학교,경기,2997 ,8554.9 ,6277.3 
전문대학,사립,김해대학교,경남,1326 ,9558.2 ,5656.7 
전문대학,사립,농협대학교,경기,176 ,17423.7 ,4888.0 
전문대학,사립,대경대학교,경북,3751 ,3438.9 ,6209.3 
전문대학,사립,대구공업대학교,대구,1751 ,8430.0 ,5882.0 
전문대학,사립,대구과학대학교,대구,3879 ,8515.5 ,5650.6 
전문대학,사립,대구보건대학교,대구,6186 ,5701.6 ,6102.6 
전문대학,사립,대덕대학교,대전,4062 ,4857.4 ,5631.7 
전문대학,사립,대동대학교,부산,1507 ,7375.7 ,5742.8 
전문대학,사립,대림대학교,경기,5876 ,3978.0 ,6541.2 
전문대학,사립,대원대학교,충북,2535 ,9319.8 ,5582.3 
전문대학,사립,대전과학기술대학교,대전,4142 ,6049.5 ,5808.3 
전문대학,사립,대전보건대학교,대전,5280 ,4838.6 ,5544.1 
전문대학,사립,동강대학교,광주,3218 ,4996.9 ,5179.8 
전문대학,사립,동남보건대학교,경기,4128 ,5553.9 ,6444.1 
전문대학,사립,동부산대학교,부산,1758 ,9836.6 ,6029.9 
전문대학,사립,동서울대학교,경기,5500 ,6430.9 ,6692.2 
전문대학,사립,동아방송예술대학교,경기,2469 ,11584.4 ,7356.3 
전문대학,사립,동아보건대학교,전남,1606 ,1471.5 ,4831.9 
전문대학,사립,동양미래대학교,서울,4976 ,4590.2 ,6556.1 
전문대학,사립,동원과학기술대학교,경남,1957 ,8304.2 ,5598.3 
전문대학,사립,동원대학교,경기,3356 ,6347.3 ,6474.1 
전문대학,사립,동의과학대학교,부산,4860 ,5861.4 ,6205.7 
전문대학,사립,동주대학교,부산,3118 ,7292.1 ,5940.4 
전문대학,사립,두원공과대학교,경기,4813 ,7352.4 ,6400.9 
전문대학,사립,마산대학교,경남,5342 ,4875.5 ,5756.2 
전문대학,사립,명지전문대학,서울,5869 ,8054.5 ,6450.0 
전문대학,사립,목포과학대학교,전남,2294 ,6034.9 ,5406.4 
전문대학,사립,문경대학교,경북,832 ,8911.0 ,5705.1 
전문대학,사립,배화여자대학교,서울,2690 ,6403.1 ,5664.9 
전문대학,사립,백석문화대학교,충남,5407 ,3134.3 ,6661.6 
전문대학,사립,백제예술대학교,전북,1354 ,4578.0 ,7468.8 
전문대학,사립,부산경상대학교,부산,2992 ,6496.1 ,5688.5 
전문대학,사립,부산과학기술대학교,부산,3134 ,7064.0 ,6018.6 
전문대학,사립,부산여자대학교,부산,2901 ,5266.8 ,5830.2 
전문대학,사립,부산예술대학교,부산,902 ,7756.8 ,6390.8 
전문대학,사립,부천대학교,경기,5319 ,5657.5 ,6533.1 
전문대학,사립,삼육보건대학교,서울,1072 ,6522.7 ,5730.1 
전문대학,사립,상지영서대학교,강원,1259 ,#DIV/0!,5793.1 
전문대학,사립,서라벌대학교,경북,650 ,15268.1 ,5778.4 
전문대학,사립,서영대학교,광주,4225 ,7571.7 ,5458.1 
전문대학,사립,서울여자간호대학교,서울,684 ,2776.4 ,6346.0 
전문대학,사립,서울예술대학교,경기,1890 ,14071.4 ,8099.0 
전문대학,사립,서일대학교,서울,5386 ,7603.7 ,6004.6 
전문대학,사립,서정대학교,경기,3208 ,4782.6 ,6281.2 
전문대학,사립,서해대학,전북,1275 ,11624.9 ,5465.7 
전문대학,사립,선린대학교,경북,2215 ,6025.2 ,5734.7 
전문대학,사립,성운대학교,경북,1273 ,2467.5 ,5070.8 
전문대학,사립,세경대학교,강원,966 ,10913.8 ,4862.2 
전문대학,사립,송곡대학교,강원,575 ,10465.0 ,5246.8 
전문대학,사립,송호대학교,강원,885 ,11197.6 ,5861.0 
전문대학,사립,수성대학교,대구,3310 ,9057.2 ,5738.2 
전문대학,사립,수원과학대학교,경기,5667 ,4716.5 ,5508.5 
전문대학,사립,수원여자대학교,경기,4210 ,7818.2 ,6528.7 
전문대학,사립,순천제일대학교,전남,2446 ,9362.9 ,5326.9 
전문대학,사립,숭의여자대학교,서울,3375 ,7148.3 ,5585.0 
전문대학,사립,신구대학교,경기,6155 ,7014.9 ,6531.9 
전문대학,사립,신성대학교,충남,3643 ,7436.9 ,6459.9 
전문대학,사립,신안산대학교,경기,3885 ,5098.4 ,6219.5 
전문대학,사립,아주자동차대학,충남,988 ,848.2 ,6306.0 
전문대학,사립,안동과학대학교,경북,2628 ,8272.9 ,5626.8 
전문대학,사립,안산대학교,경기,4072 ,6832.9 ,5985.3 
전문대학,사립,여주대학교,경기,5029 ,6251.7 ,6538.6 
전문대학,사립,연성대학교,경기,5710 ,5549.8 ,6361.3 
전문대학,사립,연암공과대학교,경남,1162 ,4169.3 ,5470.0 
전문대학,사립,연암대학교,충남,966 ,2470.0 ,6100.0 
전문대학,사립,영남외국어대학,경북,969 ,11526.4 ,5483.6 
전문대학,사립,영남이공대학교,대구,5017 ,5320.6 ,6087.7 
전문대학,사립,영진사이버대학교,대구,2600 ,1192.3 ,2160.0 
전문대학,사립,영진전문대학교,대구,5790 ,2415.8 ,5996.3 
전문대학,사립,오산대학교,경기,4590 ,5726.1 ,6529.8 
전문대학,사립,용인송담대학교,경기,3836 ,7075.1 ,6707.7 
전문대학,사립,우송정보대학,대전,4620 ,3889.4 ,5847.0 
전문대학,사립,울산과학대학교,울산,4727 ,3852.0 ,6026.7 
전문대학,사립,웅지세무대학교,경기,1797 ,722.8 ,6960.0 
전문대학,사립,원광보건대학교,전북,4033 ,5010.0 ,6122.9 
전문대학,사립,유한대학교,경기,4540 ,6164.7 ,5975.5 
전문대학,사립,인덕대학교,서울,5826 ,7405.3 ,6411.4 
전문대학,사립,인천재능대학교,인천,3316 ,5263.3 ,6275.3 
전문대학,사립,인하공업전문대학,인천,5756 ,4341.8 ,6540.0 
전문대학,사립,장안대학교,경기,5514 ,6088.4 ,6227.0 
전문대학,사립,전남과학대학교,전남,3171 ,7180.6 ,5115.0 
전문대학,사립,전북과학대학교,전북,1478 ,9142.1 ,5295.0 
전문대학,사립,전주기전대학,전북,2036 ,3236.4 ,5986.9 
전문대학,사립,전주비전대학교,전북,2582 ,9558.2 ,5905.1 
전문대학,사립,제주관광대학교,제주,2355 ,8492.3 ,4807.9 
전문대학,사립,제주한라대학교,제주,4646 ,5883.5 ,4992.9 
전문대학,사립,조선간호대학교,광주,556 ,2472.7 ,4976.0 
전문대학,사립,조선이공대학교,광주,2984 ,10014.4 ,5492.9 
전문대학,사립,진주보건대학교,경남,2405 ,4129.4 ,5822.7 
전문대학,사립,창원문성대학교,경남,2985 ,7257.8 ,5657.0 
전문대학,사립,청강문화산업대학교,경기,3500 ,4915.4 ,6902.5 
전문대학,사립,청암대학교,전남,2777 ,6607.7 ,5231.2 
전문대학,사립,춘해보건대학교,울산,2170 ,6555.2 ,6064.5 
전문대학,사립,충북보건과학대학교,충북,2648 ,8898.8 ,6077.2 
전문대학,사립,충청대학교,충북,3776 ,8006.9 ,5784.5 
전문대학,사립,포항대학교,경북,1776 ,8708.7 ,6023.7 
전문대학,사립,한국골프대학교,강원,480 ,7000.0 ,7925.0 
전문대학,사립,한국관광대학교,경기,1860 ,5759.1 ,6114.1 
전문대학,사립,한국복지사이버대학,경북,1690 ,1860.0 ,2160.0 
전문대학,사립,한국승강기대학교,경남,594 ,1616.2 ,6746.0 
전문대학,사립,한국영상대학교,세종,3167 ,5294.5 ,5881.7 
전문대학,사립,한국폴리텍 I 대학 서울강서캠퍼스,서울,520 ,0.0 ,2476.0 
전문대학,사립,한국폴리텍 I 대학 서울정수캠퍼스,서울,1130 ,0.0 ,2476.0 
전문대학,사립,한국폴리텍 I 대학 성남캠퍼스,경기,860 ,0.0 ,2413.9 
전문대학,사립,한국폴리텍 I 대학 제주캠퍼스,제주,50 ,0.0 ,2148.5 
전문대학,사립,한국폴리텍 특성화대학 반도체융합캠퍼스,경기,698 ,0.0 ,2361.7 
전문대학,사립,한국폴리텍 II 대학 남인천캠퍼스,인천,25,0.0 ,1247.0 
전문대학,사립,한국폴리텍 II 대학 인천캠퍼스,인천,1745 ,0.0 ,2475.7 
전문대학,사립,한국폴리텍 III 대학 강릉캠퍼스,강원,120 ,0.0 ,2522.8 
전문대학,사립,한국폴리텍 III 대학 원주캠퍼스,강원,75 ,0.0 ,2163.3 
전문대학,사립,한국폴리텍 III 대학 춘천캠퍼스,강원,250 ,0.0 ,2414.5 
전문대학,사립,한국폴리텍 IV 대학 대전캠퍼스,대전,850 ,0.0 ,2413.9 
전문대학,사립,한국폴리텍 IV 대학 아산캠퍼스,충남,450 ,0.0 ,2414.5 
전문대학,사립,한국폴리텍 IV 대학 청주캠퍼스,충북,680 ,0.0 ,2413.7 
전문대학,사립,한국폴리텍 IV 대학 홍성캠퍼스,충남,240 ,0.0 ,2148.5 
전문대학,사립,한국폴리텍 V 대학 광주캠퍼스,광주,710 ,0.0 ,2414.5 
전문대학,사립,한국폴리텍 V 대학 김제캠퍼스,전북,475 ,0.0 ,2321.0 
전문대학,사립,한국폴리텍 V 대학 목포캠퍼스,전남,225 ,0.0 ,2146.8 
전문대학,사립,한국폴리텍 V 대학 익산캠퍼스,전북,100 ,0.0 ,2414.5 
전문대학,사립,한국폴리텍 VI 대학 구미캠퍼스,경북,540 ,0.0 ,2413.9 
전문대학,사립,한국폴리텍 VI 대학 대구캠퍼스,대구,690 ,0.0 ,2413.7 
전문대학,사립,한국폴리텍 VI 대학 영주캠퍼스,경북,60 ,0.0 ,2148.5 
전문대학,사립,한국폴리텍 VII 대학 부산캠퍼스,부산,830 ,0.0 ,2413.2 
전문대학,사립,한국폴리텍 VII 대학 울산캠퍼스,울산,680 ,0.0 ,2413.7 
전문대학,사립,한국폴리텍 VII 대학 창원캠퍼스,경남,1210 ,0.0 ,2414.5 
전문대학,사립,한국폴리텍 특성화대학 바이오캠퍼스,충남,360 ,0.0 ,2576.0 
전문대학,사립,한국폴리텍 VI 대학 영남융합기술캠퍼스,대구,320 ,0.0 ,2416.1 
전문대학,사립,한국폴리텍 특성화대학 항공캠퍼스,경남,480 ,0.0 ,2424.8 
전문대학,사립,한림성심대학교,강원,2609 ,8141.7 ,5598.9 
전문대학,사립,한양여자대학교,서울,6252 ,5245.5 ,6085.5 
전문대학,사립,한영대학,전남,1349 ,3492.7 ,5258.1 
전문대학,사립,혜전대학교,충남,2838 ,4506.2 ,5802.0 
전문대학,사립,호산대학교,경북,1776 ,9687.7 ,5648.8 
